"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.2072439193725586,1718999939,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.3005168437957764,1718999983,5
310,250,0.8064516129032258,"[37, 71, 142]","[227, 183, 150]","[23, 27, 10]","[23, 29, 8]",[1. 2. 3.],"[0.6166666666666667, 0.71, 0.9466666666666667]","[0.6166666666666667, 0.7244897959183674, 0.9342105263157895]","[0.908, 0.8714285714285714, 0.9375]",0.7577777777777778,0.7584556629669411,0.9056428571428571,0.7578890028197898,0.7580785782772538,0.7582956146184153,5,60,2,8.460870027542114,1719000060,0
310,249,0.8032258064516129,"[43, 68, 138]","[224, 184, 151]","[26, 26, 9]","[17, 32, 12]",[1. 2. 3.],"[0.7166666666666667, 0.68, 0.92]","[0.6231884057971014, 0.723404255319149, 0.9387755102040817]","[0.896, 0.8761904761904762, 0.94375]",0.7722222222222223,0.7617893904401107,0.9053134920634921,0.7692489228957021,0.7656635079315492,0.7630420054200542,5,60,2,7.892482042312622,1719000292,0
310,248,0.8,"[43, 68, 137]","[225, 184, 149]","[25, 26, 11]","[17, 32, 13]",[1. 2. 3.],"[0.7166666666666667, 0.68, 0.9133333333333333]","[0.6323529411764706, 0.723404255319149, 0.9256756756756757]","[0.9, 0.8761904761904762, 0.93125]",0.77,0.7604776240570983,0.9024801587301586,0.7673621528110691,0.7641230050277913,0.761685556241137,5,60,2,6.164196252822876,1719000403,44
310,247,0.7967741935483871,"[36, 71, 140]","[226, 181, 150]","[24, 29, 10]","[24, 29, 10]",[1. 2. 3.],"[0.6, 0.71, 0.9333333333333333]","[0.6, 0.71, 0.9333333333333333]","[0.904, 0.861904761904762, 0.9375]",0.7477777777777778,0.7477777777777778,0.9011349206349206,0.7477777777777778,0.7477777777777778,0.7477777777777778,5,60,2,5.619971036911011,1719000475,42
310,256,0.8258064516129032,"[41, 72, 143]","[228, 188, 150]","[22, 22, 10]","[19, 28, 7]",[1. 2. 3.],"[0.6833333333333333, 0.72, 0.9533333333333334]","[0.6507936507936508, 0.7659574468085106, 0.934640522875817]","[0.912, 0.8952380952380953, 0.9375]",0.7855555555555555,0.783797206825993,0.9149126984126985,0.7849492628666709,0.784276365780908,0.7838913376778128,5,100,2,8.399554967880249,1719000714,42
310,256,0.8258064516129032,"[41, 72, 143]","[228, 188, 150]","[22, 22, 10]","[19, 28, 7]",[1. 2. 3.],"[0.6833333333333333, 0.72, 0.9533333333333334]","[0.6507936507936508, 0.7659574468085106, 0.934640522875817]","[0.912, 0.8952380952380953, 0.9375]",0.7855555555555555,0.783797206825993,0.9149126984126985,0.7849492628666709,0.784276365780908,0.7838913376778128,5,100,2,8.95020079612732,1719000824,42
310,256,0.8258064516129032,"[41, 72, 143]","[228, 188, 150]","[22, 22, 10]","[19, 28, 7]",[1. 2. 3.],"[0.6833333333333333, 0.72, 0.9533333333333334]","[0.6507936507936508, 0.7659574468085106, 0.934640522875817]","[0.912, 0.8952380952380953, 0.9375]",0.7855555555555555,0.783797206825993,0.9149126984126985,0.7849492628666709,0.784276365780908,0.7838913376778128,5,100,2,10.29833197593689,1719001203,42
310,256,0.8258064516129032,"[41, 72, 143]","[228, 188, 150]","[22, 22, 10]","[19, 28, 7]",[1. 2. 3.],"[0.6833333333333333, 0.72, 0.9533333333333334]","[0.6507936507936508, 0.7659574468085106, 0.934640522875817]","[0.912, 0.8952380952380953, 0.9375]",0.7855555555555555,0.783797206825993,0.9149126984126985,0.7849492628666709,0.784276365780908,0.7838913376778128,5,100,2,11.25363302230835,1719002212,42
