"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
1000,719,0.719,"[115, 604]","[604, 115]","[96, 185]","[185, 96]",['bad' 'good'],"[0.38333333333333336, 0.8628571428571429]","[0.5450236966824644, 0.7655259822560203]","[0.8628571428571429, 0.38333333333333336]",0.6230952380952381,0.6552748394692424,0.6230952380952381,0.6244862096345654,0.6306902937260721,0.6429086991846328,5,10,4,9.226798295974731,1718997890,5
1000,719,0.719,"[115, 604]","[604, 115]","[96, 185]","[185, 96]",['bad' 'good'],"[0.38333333333333336, 0.8628571428571429]","[0.5450236966824644, 0.7655259822560203]","[0.8628571428571429, 0.38333333333333336]",0.6230952380952381,0.6552748394692424,0.6230952380952381,0.6244862096345654,0.6306902937260721,0.6429086991846328,5,10,4,7.819920778274536,1718998366,5
1000,719,0.719,"[115, 604]","[604, 115]","[96, 185]","[185, 96]",['bad' 'good'],"[0.38333333333333336, 0.8628571428571429]","[0.5450236966824644, 0.7655259822560203]","[0.8628571428571429, 0.38333333333333336]",0.6230952380952381,0.6552748394692424,0.6230952380952381,0.6244862096345654,0.6306902937260721,0.6429086991846328,5,10,4,6.755313158035278,1718998389,5
1000,719,0.719,"[115, 604]","[604, 115]","[96, 185]","[185, 96]",['bad' 'good'],"[0.38333333333333336, 0.8628571428571429]","[0.5450236966824644, 0.7655259822560203]","[0.8628571428571429, 0.38333333333333336]",0.6230952380952381,0.6552748394692424,0.6230952380952381,0.6244862096345654,0.6306902937260721,0.6429086991846328,5,10,4,7.785774230957031,1718998417,5
1000,719,0.719,"[115, 604]","[604, 115]","[96, 185]","[185, 96]",['bad' 'good'],"[0.38333333333333336, 0.8628571428571429]","[0.5450236966824644, 0.7655259822560203]","[0.8628571428571429, 0.38333333333333336]",0.6230952380952381,0.6552748394692424,0.6230952380952381,0.6244862096345654,0.6306902937260721,0.6429086991846328,5,10,4,7.78890585899353,1718998455,5
1000,696,0.696,"[105, 591]","[591, 105]","[109, 195]","[195, 109]",['bad' 'good'],"[0.35, 0.8442857142857143]","[0.49065420560747663, 0.7519083969465649]","[0.8442857142857143, 0.35]",0.5971428571428572,0.6212813012770207,0.5971428571428572,0.5976625269888952,0.601992134107703,0.6114413691044147,10,10,4,14.854681968688965,1718998508,5
1000,696,0.696,"[105, 591]","[591, 105]","[109, 195]","[195, 109]",['bad' 'good'],"[0.35, 0.8442857142857143]","[0.49065420560747663, 0.7519083969465649]","[0.8442857142857143, 0.35]",0.5971428571428572,0.6212813012770207,0.5971428571428572,0.5976625269888952,0.601992134107703,0.6114413691044147,10,10,4,15.997769832611084,1718998547,5
