"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
178,172,0.9662921348314607,"[59, 65, 48]","[116, 107, 127]","[3, 0, 3]","[0, 6, 0]",[1. 2. 3.],"[1.0, 0.9154929577464789, 1.0]","[0.9516129032258065, 1.0, 0.9411764705882353]","[0.9747899159663865, 1.0, 0.9769230769230769]",0.971830985915493,0.9642631246046806,0.9839043309631545,0.969606432861413,0.9669286447361314,0.9650553720935644,5,10,4,1.224438190460205,1718999937,5
178,172,0.9662921348314607,"[59, 65, 48]","[116, 107, 127]","[3, 0, 3]","[0, 6, 0]",[1. 2. 3.],"[1.0, 0.9154929577464789, 1.0]","[0.9516129032258065, 1.0, 0.9411764705882353]","[0.9747899159663865, 1.0, 0.9769230769230769]",0.971830985915493,0.9642631246046806,0.9839043309631545,0.969606432861413,0.9669286447361314,0.9650553720935644,5,10,4,1.169464111328125,1718999982,5
178,173,0.9719101123595506,"[59, 66, 48]","[116, 107, 128]","[3, 0, 2]","[0, 5, 0]",[1. 2. 3.],"[1.0, 0.9295774647887324, 1.0]","[0.9516129032258065, 1.0, 0.96]","[0.9747899159663865, 1.0, 0.9846153846153847]",0.9765258215962441,0.9705376344086022,0.9864684335272571,0.9748418553177552,0.9727673659799928,0.9712428714889354,5,60,4,7.361683130264282,1719000051,0
