"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.2256302833557129,1718999936,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.20753002166748047,1718999980,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,60,8,3.1041617393493652,1719000043,0
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,60,8,3.921052932739258,1719000274,0
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,60,8,0.902252197265625,1719000391,44
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,60,8,0.4944489002227783,1719000464,42
